"","title","Number_Of_Trophic_Links","Number_Of_Nodes","Fraction_Basal_Nodes","Fraction_Intermediate_Nodes","Fraction_Top_Level_Nodes","Fraction_Isolated_Nodes","Fraction_Non_Basal_Nodes","Fraction_Connected_Nodes","Fraction_Non_Top_Level_Nodes","Mean_Maximum_Trophic_Similarity"
"p003","p003",35,13,0.538461538461538,0.384615384615385,0.0769230769230769,0,0.461538461538462,1,0.923076923076923,0.700373344604114
"p006","p006",38,12,0.583333333333333,0.416666666666667,0,0,0.416666666666667,1,1,0.901388888888889
"p009","p009",13,7,0.428571428571429,0.428571428571429,0.142857142857143,0,0.571428571428571,1,0.857142857142857,0.710204081632653
"p010","p010",6,5,0.6,0.2,0.2,0,0.4,1,0.8,0.66
"p011","p011",30,11,0.545454545454545,0.363636363636364,0.0909090909090909,0,0.454545454545455,1,0.909090909090909,0.806841138659321
"p013","p013",22,9,0.444444444444444,0.444444444444444,0.111111111111111,0,0.555555555555556,1,0.888888888888889,0.731216931216931
"p015","p015",18,9,0.555555555555556,0.222222222222222,0.222222222222222,0,0.444444444444444,1,0.777777777777778,0.71957671957672
"p020","p020",16,9,0.555555555555556,0.333333333333333,0.111111111111111,0,0.444444444444444,1,0.888888888888889,0.740740740740741
"p021","p021",32,11,0.363636363636364,0.545454545454545,0.0909090909090909,0,0.636363636363636,1,0.909090909090909,0.667191394464122
"p027","p027",4,5,0.8,0,0.2,0,0.2,1,0.8,0.8
"p034","p034",38,14,0.5,0.5,0,0,0.5,1,1,0.847789115646258
"p036","p036",25,11,0.545454545454545,0.363636363636364,0.0909090909090909,0,0.454545454545455,1,0.909090909090909,0.711432506887052
"p040","p040",21,9,0.333333333333333,0.555555555555556,0.111111111111111,0,0.666666666666667,1,0.888888888888889,0.683950617283951
"p043","p043",43,13,0.384615384615385,0.615384615384615,0,0,0.615384615384615,1,1,0.728712313327698
"p046","p046",6,7,0.857142857142857,0,0.142857142857143,0,0.142857142857143,1,0.857142857142857,0.857142857142857
"p048","p048",25,11,0.636363636363636,0.272727272727273,0.0909090909090909,0,0.363636363636364,1,0.909090909090909,0.801928374655647
"p059","p059",28,11,0.454545454545455,0.545454545454545,0,0,0.545454545454545,1,1,0.818024399842582
"p064","p064",12,7,0.571428571428571,0.285714285714286,0.142857142857143,0,0.428571428571429,1,0.857142857142857,0.710884353741497
"p065","p065",23,8,0.5,0.5,0,0,0.5,1,1,0.875
"p070","p070",10,8,0.625,0.25,0.125,0,0.375,1,0.875,0.739583333333333
"p074","p074",44,12,0.5,0.5,0,0,0.5,1,1,0.869444444444444
"p075","p075",34,11,0.454545454545455,0.545454545454545,0,0,0.545454545454545,1,1,0.759917355371901
"p079","p079",5,5,0.6,0.2,0.2,0,0.4,1,0.8,0.64
"p081","p081",11,6,0.333333333333333,0.5,0.166666666666667,0,0.666666666666667,1,0.833333333333333,0.616666666666667
"p085","p085",4,8,0.5,0,0.125,0.375,0.5,0.625,0.875,0.5
"p090","p090",19,8,0.375,0.5,0.125,0,0.625,1,0.875,0.729166666666667
"p094","p094",32,11,0.636363636363636,0.363636363636364,0,0,0.363636363636364,1,1,0.909090909090909
