"resource","consumer"
"Chrysocyon_brachyurus","Puma_concolor"
"Dasyprocta_azarae","Chrysocyon_brachyurus"
"Dasyprocta_azarae","Didelphis_albiventris"
"Dasyprocta_azarae","Herpailurus_yagouaroundi"
"Dasyprocta_azarae","Leopardus_pardalis"
"Dasyprocta_azarae","Puma_concolor"
"Dasypus_novemcinctus","Chrysocyon_brachyurus"
"Dasypus_novemcinctus","Herpailurus_yagouaroundi"
"Dasypus_novemcinctus","Leopardus_pardalis"
"Dasypus_novemcinctus","Procyon_cancrivorus"
"Dasypus_novemcinctus","Puma_concolor"
"Didelphis_albiventris","Chrysocyon_brachyurus"
"Didelphis_albiventris","Herpailurus_yagouaroundi"
"Didelphis_albiventris","Leopardus_pardalis"
"Didelphis_albiventris","Procyon_cancrivorus"
"Didelphis_albiventris","Puma_concolor"
"Herpailurus_yagouaroundi","Leopardus_pardalis"
"Herpailurus_yagouaroundi","Puma_concolor"
"Leopardus_pardalis","Puma_concolor"
"Lepus_europaeus","Chrysocyon_brachyurus"
"Lepus_europaeus","Herpailurus_yagouaroundi"
"Lepus_europaeus","Puma_concolor"
"Lepus_europaeus","Sus_scrofa"
"Myrmecophaga_tridactyla","Chrysocyon_brachyurus"
"Myrmecophaga_tridactyla","Puma_concolor"
"Procyon_cancrivorus","Chrysocyon_brachyurus"
"Procyon_cancrivorus","Herpailurus_yagouaroundi"
"Procyon_cancrivorus","Leopardus_pardalis"
"Procyon_cancrivorus","Puma_concolor"
"Sus_scrofa","Leopardus_pardalis"
"Sus_scrofa","Procyon_cancrivorus"
"Sus_scrofa","Puma_concolor"
