"resource","consumer"
"Tapirus_terrestris","Canis_familiaris"
"Tapirus_terrestris","Leopardus_pardalis"
"Tapirus_terrestris","Puma_concolor"
"Cerdocyon_thous","Canis_familiaris"
"Cerdocyon_thous","Leopardus_pardalis"
"Cerdocyon_thous","Chrysocyon_brachyurus"
"Cerdocyon_thous","Puma_concolor"
"Canis_familiaris","Puma_concolor"
"Hydrochoerus_hydrochaeris","Canis_familiaris"
"Hydrochoerus_hydrochaeris","Leopardus_pardalis"
"Hydrochoerus_hydrochaeris","Chrysocyon_brachyurus"
"Hydrochoerus_hydrochaeris","Procyon_cancrivorus"
"Hydrochoerus_hydrochaeris","Puma_concolor"
"Dicotyles_tajacu","Canis_familiaris"
"Dicotyles_tajacu","Leopardus_pardalis"
"Dicotyles_tajacu","Chrysocyon_brachyurus"
"Dicotyles_tajacu","Puma_concolor"
"Dasyprocta_azarae","Cerdocyon_thous"
"Dasyprocta_azarae","Canis_familiaris"
"Dasyprocta_azarae","Didelphis_albiventris"
"Dasyprocta_azarae","Felis_catus"
"Dasyprocta_azarae","Leopardus_guttulus"
"Dasyprocta_azarae","Herpailurus_yagouaroundi"
"Dasyprocta_azarae","Eira_barbara"
"Dasyprocta_azarae","Leopardus_pardalis"
"Dasyprocta_azarae","Chrysocyon_brachyurus"
"Dasyprocta_azarae","Puma_concolor"
"Dasyprocta_azarae","Nasua_nasua"
"Didelphis_albiventris","Cerdocyon_thous"
"Didelphis_albiventris","Canis_familiaris"
"Didelphis_albiventris","Felis_catus"
"Didelphis_albiventris","Leopardus_guttulus"
"Didelphis_albiventris","Herpailurus_yagouaroundi"
"Didelphis_albiventris","Eira_barbara"
"Didelphis_albiventris","Leopardus_pardalis"
"Didelphis_albiventris","Chrysocyon_brachyurus"
"Didelphis_albiventris","Procyon_cancrivorus"
"Didelphis_albiventris","Puma_concolor"
"Felis_catus","Cerdocyon_thous"
"Felis_catus","Canis_familiaris"
"Felis_catus","Puma_concolor"
"Leopardus_guttulus","Canis_familiaris"
"Leopardus_guttulus","Leopardus_pardalis"
"Leopardus_guttulus","Puma_concolor"
"Herpailurus_yagouaroundi","Canis_familiaris"
"Herpailurus_yagouaroundi","Leopardus_pardalis"
"Herpailurus_yagouaroundi","Puma_concolor"
"Eira_barbara","Canis_familiaris"
"Eira_barbara","Leopardus_pardalis"
"Eira_barbara","Puma_concolor"
"Leopardus_pardalis","Canis_familiaris"
"Leopardus_pardalis","Puma_concolor"
"Sus_scrofa","Cerdocyon_thous"
"Sus_scrofa","Canis_familiaris"
"Sus_scrofa","Leopardus_pardalis"
"Sus_scrofa","Procyon_cancrivorus"
"Sus_scrofa","Puma_concolor"
"Conepatus_semistriatus","Canis_familiaris"
"Conepatus_semistriatus","Herpailurus_yagouaroundi"
"Conepatus_semistriatus","Leopardus_pardalis"
"Conepatus_semistriatus","Chrysocyon_brachyurus"
"Conepatus_semistriatus","Puma_concolor"
"Lepus_europaeus","Cerdocyon_thous"
"Lepus_europaeus","Canis_familiaris"
"Lepus_europaeus","Felis_catus"
"Lepus_europaeus","Herpailurus_yagouaroundi"
"Lepus_europaeus","Sus_scrofa"
"Lepus_europaeus","Chrysocyon_brachyurus"
"Lepus_europaeus","Puma_concolor"
"Chrysocyon_brachyurus","Canis_familiaris"
"Chrysocyon_brachyurus","Puma_concolor"
"Procyon_cancrivorus","Canis_familiaris"
"Procyon_cancrivorus","Herpailurus_yagouaroundi"
"Procyon_cancrivorus","Leopardus_pardalis"
"Procyon_cancrivorus","Chrysocyon_brachyurus"
"Procyon_cancrivorus","Puma_concolor"
"Puma_concolor","Canis_familiaris"
"Cuniculus_paca","Cerdocyon_thous"
"Cuniculus_paca","Canis_familiaris"
"Cuniculus_paca","Leopardus_guttulus"
"Cuniculus_paca","Herpailurus_yagouaroundi"
"Cuniculus_paca","Leopardus_pardalis"
"Cuniculus_paca","Chrysocyon_brachyurus"
"Cuniculus_paca","Puma_concolor"
"Cuniculus_paca","Nasua_nasua"
"Nasua_nasua","Cerdocyon_thous"
"Nasua_nasua","Canis_familiaris"
"Nasua_nasua","Leopardus_guttulus"
"Nasua_nasua","Herpailurus_yagouaroundi"
"Nasua_nasua","Eira_barbara"
"Nasua_nasua","Leopardus_pardalis"
"Nasua_nasua","Chrysocyon_brachyurus"
"Nasua_nasua","Puma_concolor"
"Myrmecophaga_tridactyla","Canis_familiaris"
"Myrmecophaga_tridactyla","Chrysocyon_brachyurus"
"Myrmecophaga_tridactyla","Puma_concolor"
"Tamandua_tetradactyla","Cerdocyon_thous"
"Tamandua_tetradactyla","Canis_familiaris"
"Tamandua_tetradactyla","Leopardus_pardalis"
"Tamandua_tetradactyla","Chrysocyon_brachyurus"
"Tamandua_tetradactyla","Puma_concolor"
"Sylvilagus_brasiliensis","Cerdocyon_thous"
"Sylvilagus_brasiliensis","Canis_familiaris"
"Sylvilagus_brasiliensis","Felis_catus"
"Sylvilagus_brasiliensis","Leopardus_guttulus"
"Sylvilagus_brasiliensis","Herpailurus_yagouaroundi"
"Sylvilagus_brasiliensis","Eira_barbara"
"Sylvilagus_brasiliensis","Leopardus_pardalis"
"Sylvilagus_brasiliensis","Chrysocyon_brachyurus"
"Sylvilagus_brasiliensis","Puma_concolor"
"Cabassous_tatouay","Cerdocyon_thous"
"Cabassous_tatouay","Canis_familiaris"
"Cabassous_tatouay","Herpailurus_yagouaroundi"
"Cabassous_tatouay","Eira_barbara"
"Cabassous_tatouay","Leopardus_pardalis"
"Cabassous_tatouay","Chrysocyon_brachyurus"
"Cabassous_tatouay","Procyon_cancrivorus"
"Cabassous_tatouay","Puma_concolor"
"Dasypus_novemcinctus","Cerdocyon_thous"
"Dasypus_novemcinctus","Canis_familiaris"
"Dasypus_novemcinctus","Herpailurus_yagouaroundi"
"Dasypus_novemcinctus","Eira_barbara"
"Dasypus_novemcinctus","Leopardus_pardalis"
"Dasypus_novemcinctus","Chrysocyon_brachyurus"
"Dasypus_novemcinctus","Procyon_cancrivorus"
"Dasypus_novemcinctus","Puma_concolor"
"Euphractus_sexcinctus","Cerdocyon_thous"
"Euphractus_sexcinctus","Canis_familiaris"
"Euphractus_sexcinctus","Herpailurus_yagouaroundi"
"Euphractus_sexcinctus","Eira_barbara"
"Euphractus_sexcinctus","Leopardus_pardalis"
"Euphractus_sexcinctus","Chrysocyon_brachyurus"
"Euphractus_sexcinctus","Procyon_cancrivorus"
"Euphractus_sexcinctus","Puma_concolor"
"Dasypus_septemcinctus","Cerdocyon_thous"
"Dasypus_septemcinctus","Canis_familiaris"
"Dasypus_septemcinctus","Herpailurus_yagouaroundi"
"Dasypus_septemcinctus","Eira_barbara"
"Dasypus_septemcinctus","Leopardus_pardalis"
"Dasypus_septemcinctus","Chrysocyon_brachyurus"
"Dasypus_septemcinctus","Procyon_cancrivorus"
"Dasypus_septemcinctus","Puma_concolor"
"Subulo_gouazoubira","Cerdocyon_thous"
"Subulo_gouazoubira","Canis_familiaris"
"Subulo_gouazoubira","Herpailurus_yagouaroundi"
"Subulo_gouazoubira","Eira_barbara"
"Subulo_gouazoubira","Leopardus_pardalis"
"Subulo_gouazoubira","Chrysocyon_brachyurus"
"Subulo_gouazoubira","Puma_concolor"
"Mazama_americana","Cerdocyon_thous"
"Mazama_americana","Canis_familiaris"
"Mazama_americana","Herpailurus_yagouaroundi"
"Mazama_americana","Eira_barbara"
"Mazama_americana","Leopardus_pardalis"
"Mazama_americana","Chrysocyon_brachyurus"
"Mazama_americana","Puma_concolor"
