"","RG","RPL","dist_to_PG","dist_to_PL","title","Number_Of_Trophic_Links","Number_Of_Nodes","Fraction_Basal_Nodes","Fraction_Intermediate_Nodes","Fraction_Top_Level_Nodes","Fraction_Isolated_Nodes","Fraction_Non_Basal_Nodes","Fraction_Connected_Nodes","Fraction_Non_Top_Level_Nodes","Mean_Maximum_Trophic_Similarity","N_number_of_compartments","T_total_System_Throughput","TST_total_System_Throughflow","Lint_number_of_Internal_links","Ltot_total_number_of_links","LD_link_Density","C_connectance","Tijbar_average_Link_Weight","TSTbar_average_Compartment_Throughflow","Cbar_compartmentalization"
"p003",0.591462563500771,0.123033251430724,1.05778005375365,0.426661479370914,"p003",35,13,0.538461538461538,0.384615384615385,0.0769230769230769,0,0.461538461538462,1,0.923076923076923,0.700373344604114,13,35,62,35,35,2.69230769230769,0.224358974358974,1,4.76923076923077,0.36731331346716
"p006",0.369529805434471,0.328830312657607,0.766172974145997,0.711071051835185,"p006",38,12,0.583333333333333,0.416666666666667,0,0,0.416666666666667,1,1,0.901388888888889,12,38,69,38,38,3.16666666666667,0.287878787878788,1,5.75,0.53817722681359
"p009",0.576447695961242,0.596639407846272,0.703556474976693,0.731693335524993,"p009",13,7,0.428571428571429,0.428571428571429,0.142857142857143,0,0.571428571428571,1,0.857142857142857,0.710204081632653,7,13,23,13,13,1.85714285714286,0.30952380952381,1,3.28571428571429,0.400226757369615
"p010",0.695830257280635,0.111693004240871,1.12839224813973,0.324028640064911,"p010",6,5,0.6,0.2,0.2,0,0.4,1,0.8,0.66,5,6,11,6,6,1.2,0.3,1,2.2,0.363333333333333
"p011",0.54647093650511,0.34288117948172,0.854655268938364,0.56855616668657,"p011",30,11,0.545454545454545,0.363636363636364,0.0909090909090909,0,0.454545454545455,1,0.909090909090909,0.806841138659321,11,30,55,30,30,2.72727272727273,0.272727272727273,1,5,0.447231404958678
"p013",0.934207112986793,0.192456320452365,1.23485615532031,0.203391590936292,"p013",22,9,0.444444444444444,0.444444444444444,0.111111111111111,0,0.555555555555556,1,0.888888888888889,0.731216931216931,9,22,39,22,22,2.44444444444444,0.305555555555556,1,4.33333333333333,0.423148148148148
"p015",0.685821108896984,0.428088757454971,0.892991076527693,0.531006930156341,"p015",18,9,0.555555555555556,0.222222222222222,0.222222222222222,0,0.444444444444444,1,0.777777777777778,0.71957671957672,9,18,33,18,18,2,0.25,1,3.66666666666667,0.327215608465608
"p020",0.995993816391615,0.997590811928234,0.995996730154019,0.997598856029185,"p020",16,9,0.555555555555556,0.333333333333333,0.111111111111111,0,0.444444444444444,1,0.888888888888889,0.740740740740741,9,16,29,16,16,1.77777777777778,0.222222222222222,1,3.22222222222222,0.42498897707231
"p021",0.563598947685463,0.224168896914842,0.958935698754872,0.490609389234707,"p021",32,11,0.363636363636364,0.545454545454545,0.0909090909090909,0,0.636363636363636,1,0.909090909090909,0.667191394464122,11,32,55,32,32,2.90909090909091,0.290909090909091,1,5,0.391978879706152
"p027",1,1,1,1,"p027",4,5,0.8,0,0.2,0,0.2,1,0.8,0.8,5,4,8,4,4,0.8,0.2,1,1.6,0.6
"p034",0.433049613708791,0.433862784445519,0.712771572643799,0.713911518496914,"p034",38,14,0.5,0.5,0,0,0.5,1,1,0.847789115646258,14,38,67,38,38,2.71428571428571,0.208791208791209,1,4.78571428571429,0.425409907552765
