"","N_number_of_compartments","T_total_System_Throughput","TST_total_System_Throughflow","Lint_number_of_Internal_links","Ltot_total_number_of_links","LD_link_Density","C_connectance","Tijbar_average_Link_Weight","TSTbar_average_Compartment_Throughflow","Cbar_compartmentalization"
"p003",13,35,62,35,35,2.69230769230769,0.224358974358974,1,4.76923076923077,0.36731331346716
"p006",12,38,69,38,38,3.16666666666667,0.287878787878788,1,5.75,0.53817722681359
"p009",7,13,23,13,13,1.85714285714286,0.30952380952381,1,3.28571428571429,0.400226757369615
"p010",5,6,11,6,6,1.2,0.3,1,2.2,0.363333333333333
"p011",11,30,55,30,30,2.72727272727273,0.272727272727273,1,5,0.447231404958678
"p013",9,22,39,22,22,2.44444444444444,0.305555555555556,1,4.33333333333333,0.423148148148148
"p015",9,18,33,18,18,2,0.25,1,3.66666666666667,0.327215608465608
"p020",9,16,29,16,16,1.77777777777778,0.222222222222222,1,3.22222222222222,0.42498897707231
"p021",11,32,55,32,32,2.90909090909091,0.290909090909091,1,5,0.391978879706152
"p027",5,4,8,4,4,0.8,0.2,1,1.6,0.6
"p034",14,38,67,38,38,2.71428571428571,0.208791208791209,1,4.78571428571429,0.425409907552765
"p036",11,25,45,25,25,2.27272727272727,0.227272727272727,1,4.09090909090909,0.402263544536272
"p040",9,21,37,21,21,2.33333333333333,0.291666666666667,1,4.11111111111111,0.373478835978836
"p043",13,43,73,43,43,3.30769230769231,0.275641025641026,1,5.61538461538461,0.398689522727984
"p046",7,6,12,6,6,0.857142857142857,0.142857142857143,1,1.71428571428571,0.714285714285714
"p048",11,25,46,25,25,2.27272727272727,0.227272727272727,1,4.18181818181818,0.464889807162534
"p059",11,28,48,28,28,2.54545454545455,0.254545454545455,1,4.36363636363636,0.417217630853994
"p064",7,12,21,12,12,1.71428571428571,0.285714285714286,1,3,0.396825396825397
"p065",8,23,39,23,23,2.875,0.410714285714286,1,4.875,0.589285714285714
"p070",8,10,18,10,10,1.25,0.178571428571429,1,2.25,0.39702380952381
"p074",12,44,77,44,44,3.66666666666667,0.333333333333333,1,6.41666666666667,0.537393414666142
"p075",11,34,58,34,34,3.09090909090909,0.309090909090909,1,5.27272727272727,0.452622983077528
"p079",5,5,9,5,5,1,0.25,1,1.8,0.373333333333333
"p081",6,11,18,11,11,1.83333333333333,0.366666666666667,1,3,0.417777777777778
"p085",5,4,8,4,4,0.8,0.2,1,1.6,0.6
"p090",8,19,32,19,19,2.375,0.339285714285714,1,4,0.422959183673469
"p094",11,32,57,32,32,2.90909090909091,0.290909090909091,1,5.18181818181818,0.541558441558442
"p096",5,9,15,9,9,1.8,0.45,1,3,0.443333333333333
"p099",10,16,28,16,16,1.6,0.177777777777778,1,2.8,0.318518518518518
"p100",10,20,36,20,20,2,0.222222222222222,1,3.6,0.508148148148148
"p103",12,39,68,39,39,3.25,0.295454545454545,1,5.66666666666667,0.458465061874153
"p104",11,34,60,34,34,3.09090909090909,0.309090909090909,1,5.45454545454545,0.445925488652761
"p108",13,32,58,32,32,2.46153846153846,0.205128205128205,1,4.46153846153846,0.357764600072292
"p111",10,16,31,16,16,1.6,0.177777777777778,1,3.1,0.595617283950617
"p114",11,14,26,14,14,1.27272727272727,0.127272727272727,1,2.36363636363636,0.3566391184573
"p116",12,34,61,34,34,2.83333333333333,0.257575757575758,1,5.08333333333333,0.44775678866588
"p118",12,33,57,33,33,2.75,0.25,1,4.75,0.361068476977568
"p126",10,32,52,32,32,3.2,0.355555555555556,1,5.2,0.479135802469136
"p127",16,62,106,62,62,3.875,0.258333333333333,1,6.625,0.411376308876309
"p128",4,3,6,3,3,0.75,0.25,1,1.5,0.5
"p130",11,17,33,17,17,1.54545454545455,0.154545454545455,1,3,0.363032270759544
"p131",4,3,6,3,3,0.75,0.25,1,1.5,0.5
"p134",9,16,30,16,16,1.77777777777778,0.222222222222222,1,3.33333333333333,0.648148148148148
"p135",7,12,21,12,12,1.71428571428571,0.285714285714286,1,3,0.396825396825397
"p136",8,11,20,11,11,1.375,0.196428571428571,1,2.5,0.331037414965986
"p137",6,8,15,8,8,1.33333333333333,0.266666666666667,1,2.5,0.423333333333333
"p138",11,24,46,24,24,2.18181818181818,0.218181818181818,1,4.18181818181818,0.527006427915519
"p140",15,52,94,52,52,3.46666666666667,0.247619047619048,1,6.26666666666667,0.427491053919625
"p142",9,15,29,15,15,1.66666666666667,0.208333333333333,1,3.22222222222222,0.648148148148148
"p145",4,4,7,4,4,1,0.333333333333333,1,1.75,0.305555555555556
"p146",17,70,123,70,70,4.11764705882353,0.257352941176471,1,7.23529411764706,0.443092344146626
"p147",10,22,40,22,22,2.2,0.244444444444444,1,4,0.442142857142857
"p148",3,2,4,2,2,0.666666666666667,0.333333333333333,1,1.33333333333333,0.333333333333333
"p150",6,6,11,6,6,1,0.2,1,1.83333333333333,0.444444444444444
"p151",13,39,69,39,39,3,0.25,1,5.30769230769231,0.433491330606715
