"","Agr_200","Agr_1400","Agr_3000","ENN_200","ENN_1400","ENN_3000","Edif_200","Edif_1400","Edif_3000","NatV_200","NatV_1400","NatV_3000","SHDI_200","SHDI_1400","SHDI_3000","Sug_200","Sug_1400","Sug_3000","estradasterra_200","estradasterra_1400","estradasterra_3000","rodovias_200","rodovias_1400","rodovias_3000","dist_rodovia"
"dist_to_PG",0.358,0.207,0.241,0.559,0.666,0.705,0.364,0.929,0.583,0.918,0.873,0.903,0.477,0.764,0.835,0.339,0.423,0.69,0.962,0.647,0.546,0.932,0.821,0.125,0.331
"dist_to_PL",0.253,0.064,0.024,0.775,0.496,0.747,0.445,0.377,0.985,0.37,0.411,0.225,0.567,0.223,0.158,0.29,0.252,0.3,0.477,0.93,0.767,0.319,0.782,0.157,0.211
"Number_Of_Trophic_Links",0.976,0.646,0.42,0.957,0.2,0.1,0.982,0.421,0.372,0.894,0.81,0.675,0.248,0.57,0.656,0.43,0.717,0.874,0.152,0.872,0.512,0.616,0.933,0.211,0.309
"Number_Of_Nodes",0.712,0.455,0.326,0.992,0.453,0.164,0.948,0.279,0.255,0.901,0.952,0.973,0.215,0.806,0.702,0.361,0.673,0.921,0.178,0.959,0.763,0.91,0.66,0.201,0.482
"Fraction_Basal_Nodes",0.432,0.517,0.96,0.693,0.002,0.021,0.745,0.533,0.823,0.154,0.176,0.059,0.092,0.054,0.174,0.02,0.045,0.064,0.008,0.038,0.019,0.896,0.252,0.412,0.482
"Fraction_Intermediate_Nodes",0.393,0.607,0.982,0.483,0.001,0.001,0.513,0.655,0.688,0.044,0.032,0.01,0.785,0.43,0.221,0.007,0.021,0.028,0.014,0.106,0.043,0.956,0.906,0.54,0.647
"Fraction_Top_Level_Nodes",0.328,0.56,0.644,0.47,0.052,0.001,0.702,0.421,0.285,0.338,0.232,0.175,0.959,0.368,0.126,0.021,0.058,0.07,0.076,0.349,0.189,0.757,0.468,0.479,0.587
"Fraction_Isolated_Nodes",0.73,0.588,0.474,0.767,0.483,0.886,0.475,0.345,0.545,0.111,0.077,0.086,0.013,0.008,0.275,0.924,0.901,0.799,0.624,0.5,0.599,0.635,0.307,0.453,0.451
"Fraction_Non_Basal_Nodes",0.432,0.517,0.96,0.693,0.002,0.021,0.745,0.533,0.823,0.154,0.176,0.059,0.092,0.054,0.174,0.02,0.045,0.064,0.008,0.038,0.019,0.896,0.252,0.412,0.482
"Fraction_Connected_Nodes",0.73,0.588,0.474,0.767,0.483,0.886,0.475,0.345,0.545,0.111,0.077,0.086,0.013,0.008,0.275,0.924,0.901,0.799,0.624,0.5,0.599,0.635,0.307,0.453,0.451
"Fraction_Non_Top_Level_Nodes",0.328,0.56,0.644,0.47,0.052,0.001,0.702,0.421,0.285,0.338,0.232,0.175,0.959,0.368,0.126,0.021,0.058,0.07,0.076,0.349,0.189,0.757,0.468,0.479,0.587
"Mean_Maximum_Trophic_Similarity",0.802,0.411,0.526,0.992,0.366,0.382,0.77,0.913,0.405,0.822,0.814,0.995,0.061,0.127,0.884,0.869,0.52,0.546,0.458,0.157,0.162,0.952,0.112,0.801,0.894
"N_number_of_compartments",0.666,0.405,0.274,0.953,0.385,0.166,0.948,0.38,0.321,0.847,0.687,0.717,0.094,0.468,0.56,0.357,0.652,0.877,0.213,0.962,0.83,0.981,0.54,0.271,0.595
"T_total_System_Throughput",0.976,0.646,0.42,0.957,0.2,0.1,0.982,0.421,0.372,0.894,0.81,0.675,0.248,0.57,0.656,0.43,0.717,0.874,0.152,0.872,0.512,0.616,0.933,0.211,0.309
"TST_total_System_Throughflow",0.999,0.606,0.397,0.954,0.248,0.117,0.968,0.434,0.357,0.827,0.877,0.749,0.235,0.548,0.624,0.472,0.772,0.932,0.178,0.944,0.577,0.655,0.851,0.232,0.328
"Lint_number_of_Internal_links",0.976,0.646,0.42,0.957,0.2,0.1,0.982,0.421,0.372,0.894,0.81,0.675,0.248,0.57,0.656,0.43,0.717,0.874,0.152,0.872,0.512,0.616,0.933,0.211,0.309
"Ltot_total_number_of_links",0.976,0.646,0.42,0.957,0.2,0.1,0.982,0.421,0.372,0.894,0.81,0.675,0.248,0.57,0.656,0.43,0.717,0.874,0.152,0.872,0.512,0.616,0.933,0.211,0.309
"LD_link_Density",0.651,0.862,0.544,0.823,0.061,0.014,0.807,0.508,0.454,0.589,0.415,0.265,0.561,0.908,0.813,0.169,0.422,0.501,0.048,0.575,0.342,0.734,0.977,0.283,0.392
"C_connectance",0.106,0.234,0.364,0.981,0.11,0.107,0.616,0.39,0.452,0.615,0.55,0.225,0.065,0.323,0.21,0.436,0.476,0.307,0.291,0.261,0.158,0.65,0.514,0.722,0.923
"Tijbar_average_Link_Weight",0.859,0.991,0.863,0.857,0.735,0.98,0.755,0.62,0.993,0.618,0.491,0.648,0.327,0.749,0.847,0.88,0.735,0.621,0.654,0.885,0.909,0.772,0.366,0.773,0.576
"TSTbar_average_Compartment_Throughflow",0.693,0.776,0.49,0.827,0.093,0.019,0.827,0.518,0.414,0.693,0.496,0.341,0.516,0.855,0.871,0.212,0.503,0.593,0.062,0.685,0.43,0.791,0.853,0.308,0.416
"Cbar_compartmentalization",0.424,0.947,0.636,0.649,0.668,0.304,0.989,0.842,0.32,0.635,0.633,0.577,0.917,0.903,0.587,0.952,0.658,0.691,0.431,0.415,0.401,0.838,0.154,0.799,0.785
